"No.","Time","Source","Destination","Protocol","Length","Info"
"36","0.034638","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=24121 Ack=1 Win=21 Len=1448 TSval=573623451 TSecr=651956003"
"37","0.034839","192.168.1.104","205.174.165.80","TCP","66","58138  >  80 [ACK] Seq=1 Ack=25569 Win=3677 Len=0 TSval=651956044 TSecr=573623451"
"38","0.036500","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=25569 Ack=1 Win=21 Len=1448 TSval=573623451 TSecr=651956003"
"39","0.036501","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [PSH, ACK] Seq=27017 Ack=1 Win=21 Len=1448 TSval=573623451 TSecr=651956003"
"40","0.036502","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=28465 Ack=1 Win=21 Len=1448 TSval=573623451 TSecr=651956003"
"41","0.036503","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=29913 Ack=1 Win=21 Len=1448 TSval=573623451 TSecr=651956003"
"42","0.036505","205.174.165.80","192.168.1.104","TCP","562","80  >  58138 [PSH, ACK] Seq=31361 Ack=1 Win=21 Len=496 TSval=573623451 TSecr=651956003"
"43","0.036506","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [PSH, ACK] Seq=31857 Ack=1 Win=21 Len=1448 TSval=573623451 TSecr=651956003"
"44","0.036605","192.168.1.104","205.174.165.80","TCP","66","58138  >  80 [ACK] Seq=1 Ack=33305 Win=3677 Len=0 TSval=651956046 TSecr=573623451"
"45","0.042919","104.18.30.2","192.168.1.104","TCP","1514","443  >  58158 [ACK] Seq=2636 Ack=1 Win=188 Len=1448 TSval=573623458 TSecr=4053446975 [TCP segment of a reassembled PDU]"
"46","0.042922","104.18.30.2","192.168.1.104","TLSv1.2","1253","Application Data"
"47","0.043155","192.168.1.104","104.18.30.2","TCP","66","58158  >  443 [ACK] Seq=1 Ack=5271 Win=2006 Len=0 TSval=4053447001 TSecr=573623458"
"48","0.071263","104.18.30.2","192.168.1.104","TCP","1514","443  >  58158 [ACK] Seq=5271 Ack=1 Win=188 Len=1448 TSval=573623487 TSecr=4053447001 [TCP segment of a reassembled PDU]"
"49","0.071265","104.18.30.2","192.168.1.104","TLSv1.2","1253","Application Data"
"50","0.071554","192.168.1.104","104.18.30.2","TCP","66","58158  >  443 [ACK] Seq=1 Ack=7906 Win=2006 Len=0 TSval=4053447029 TSecr=573623487"
"51","0.096974","104.18.30.2","192.168.1.104","TCP","1514","443  >  58158 [ACK] Seq=7906 Ack=1 Win=188 Len=1448 TSval=573623514 TSecr=4053447029 [TCP segment of a reassembled PDU]"
"52","0.096976","104.18.30.2","192.168.1.104","TLSv1.2","1253","Application Data"
"53","0.097286","192.168.1.104","104.18.30.2","TCP","66","58158  >  443 [ACK] Seq=1 Ack=10541 Win=2006 Len=0 TSval=4053447055 TSecr=573623514"
"54","0.117360","104.18.30.2","192.168.1.104","TCP","1514","443  >  58158 [ACK] Seq=10541 Ack=1 Win=188 Len=1448 TSval=573623534 TSecr=4053447055 [TCP segment of a reassembled PDU]"
"55","0.117362","104.18.30.2","192.168.1.104","TLSv1.2","1253","Application Data"
"56","0.117543","192.168.1.104","104.18.30.2","TCP","66","58158  >  443 [ACK] Seq=1 Ack=13176 Win=2006 Len=0 TSval=4053447076 TSecr=573623534"
"57","0.149760","104.18.30.2","192.168.1.104","TCP","1514","443  >  58158 [ACK] Seq=13176 Ack=1 Win=188 Len=1448 TSval=573623568 TSecr=4053447076 [TCP segment of a reassembled PDU]"
"58","0.149929","192.168.1.104","104.18.30.2","TCP","66","58158  >  443 [ACK] Seq=1 Ack=14624 Win=2025 Len=0 TSval=4053447108 TSecr=573623568"
"59","0.153863","104.18.30.2","192.168.1.104","TLSv1.2","1253","Application Data"
"60","0.154075","192.168.1.104","104.18.30.2","TCP","66","58158  >  443 [ACK] Seq=1 Ack=15811 Win=2029 Len=0 TSval=4053447112 TSecr=573623568"
"61","0.174703","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=33305 Ack=1 Win=21 Len=1448 TSval=573623592 TSecr=651956046"
"62","0.174706","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=34753 Ack=1 Win=21 Len=1448 TSval=573623592 TSecr=651956046"
"63","0.174708","205.174.165.80","192.168.1.104","TCP","1266","80  >  58138 [PSH, ACK] Seq=36201 Ack=1 Win=21 Len=1200 TSval=573623592 TSecr=651956046"
"64","0.174710","205.174.165.80","192.168.1.104","TCP","314","80  >  58138 [PSH, ACK] Seq=37401 Ack=1 Win=21 Len=248 TSval=573623592 TSecr=651956046"
"65","0.174711","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [PSH, ACK] Seq=37649 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"66","0.174785","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=39097 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"67","0.174786","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=40545 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"68","0.174788","205.174.165.80","192.168.1.104","TCP","1266","80  >  58138 [PSH, ACK] Seq=41993 Ack=1 Win=21 Len=1200 TSval=573623593 TSecr=651956046"
"69","0.175095","192.168.1.104","205.174.165.80","TCP","66","58138  >  80 [ACK] Seq=1 Ack=39097 Win=3677 Len=0 TSval=651956184 TSecr=573623593"
"70","0.175276","192.168.1.104","205.174.165.80","TCP","66","58138  >  80 [ACK] Seq=1 Ack=43193 Win=3677 Len=0 TSval=651956184 TSecr=573623593"
"71","0.176181","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=43193 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"72","0.176183","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=44641 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"73","0.176184","205.174.165.80","192.168.1.104","TCP","1266","80  >  58138 [PSH, ACK] Seq=46089 Ack=1 Win=21 Len=1200 TSval=573623593 TSecr=651956046"
"74","0.176186","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=47289 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"75","0.176187","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=48737 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"76","0.176189","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=50185 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"77","0.176190","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=51633 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"78","0.176191","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=53081 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"79","0.176193","205.174.165.80","192.168.1.104","TCP","1018","80  >  58138 [PSH, ACK] Seq=54529 Ack=1 Win=21 Len=952 TSval=573623593 TSecr=651956046"
"80","0.176194","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=55481 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"81","0.176310","192.168.1.104","205.174.165.80","TCP","66","58138  >  80 [ACK] Seq=1 Ack=56929 Win=3677 Len=0 TSval=651956185 TSecr=573623593"
"82","0.176538","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=56929 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"83","0.176540","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=58377 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"84","0.176541","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=59825 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"85","0.176688","192.168.1.104","205.174.165.80","TCP","66","58138  >  80 [ACK] Seq=1 Ack=61273 Win=3677 Len=0 TSval=651956185 TSecr=573623593"
"86","0.179103","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=61273 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"87","0.179105","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [PSH, ACK] Seq=62721 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"88","0.179106","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=64169 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"89","0.179108","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=65617 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"90","0.179211","192.168.1.104","205.174.165.80","TCP","66","58138  >  80 [ACK] Seq=1 Ack=67065 Win=3677 Len=0 TSval=651956188 TSecr=573623593"
"91","0.180876","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=67065 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"92","0.180878","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=68513 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"93","0.180880","205.174.165.80","192.168.1.104","TCP","1514","80  >  58138 [ACK] Seq=69961 Ack=1 Win=21 Len=1448 TSval=573623593 TSecr=651956046"
"94","0.180882","205.174.165.80","192.168.1.104","TCP","1058","80  >  58138 [PSH, ACK] Seq=71409 Ack=1 Win=21 Len=992 TSval=573623593 TSecr=651956046"
"95","0.180883","104.18.30.2","192.168.1.104","TCP","1514","443  >  58158 [ACK] Seq=15811 Ack=1 Win=188 Len=1448 TSval=573623599 TSecr=4053447112 [TCP segment of a reassembled PDU]"
"96","0.180884","104.18.30.2","192.168.1.104","TLSv1.2","1253","Application Data"
"97","0.181097","192.168.1.104","104.18.30.2","TCP","66","58158  >  443 [ACK] Seq=1 Ack=18446 Win=2006 Len=0 TSval=4053447139 TSecr=573623599"
"98","0.181099","192.168.1.104","205.174.165.80","TCP","66","58138  >  80 [ACK] Seq=1 Ack=72401 Win=3677 Len=0 TSval=651956190 TSecr=573623593"
"99","0.190655","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [PSH, ACK, CWR] Seq=10385 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"100","0.190657","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=11833 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"101","0.190658","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=13281 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"102","0.190660","205.174.165.80","192.168.1.104","TCP","1266","80  >  58133 [PSH, ACK] Seq=14729 Ack=1 Win=21 Len=1200 TSval=573623608 TSecr=3513749233"
"103","0.190661","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=15929 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"104","0.190662","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=17377 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"105","0.190663","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=18825 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"106","0.190707","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=20273 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"107","0.190709","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=21721 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"108","0.190710","205.174.165.80","192.168.1.104","TCP","314","80  >  58133 [PSH, ACK] Seq=23169 Ack=1 Win=21 Len=248 TSval=573623608 TSecr=3513749233"
"109","0.190711","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [PSH, ACK] Seq=23417 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"110","0.190712","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=24865 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"111","0.190857","192.168.1.104","205.174.165.80","TCP","66","58133  >  80 [ACK] Seq=1 Ack=20273 Win=3428 Len=0 TSval=3513749401 TSecr=573623608"
"112","0.190973","192.168.1.104","205.174.165.80","TCP","66","58133  >  80 [ACK] Seq=1 Ack=26313 Win=3428 Len=0 TSval=3513749401 TSecr=573623608"
"113","0.191954","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=26313 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"114","0.191956","205.174.165.80","192.168.1.104","TCP","1266","80  >  58133 [PSH, ACK] Seq=27761 Ack=1 Win=21 Len=1200 TSval=573623608 TSecr=3513749233"
"115","0.191958","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=28961 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"116","0.191959","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=30409 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"117","0.191960","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=31857 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"118","0.192271","192.168.1.104","205.174.165.80","TCP","66","58133  >  80 [ACK] Seq=1 Ack=33305 Win=3428 Len=0 TSval=3513749402 TSecr=573623608"
"119","0.192303","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=33305 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"120","0.192307","205.174.165.80","192.168.1.104","TCP","1514","80  >  58133 [ACK] Seq=34753 Ack=1 Win=21 Len=1448 TSval=573623608 TSecr=3513749233"
"121","0.192308","205.174.165.80","192.168.1.104","TCP","1018","80  >  58133 [PSH, ACK] Seq=36201 Ack=1 Win=21 Len=952 TSval=573623608 TSecr=3513749233"
